estado;cidade;populacao;pib;pib_percapita
GOIAS;Perolândia;2830;145665.390625;51471.87109375
PARAIBA;Pocinhos;16538;68767.046875;4158.12011719
BAHIA;Ibititá;19410;62366.88671875;3213.12988281
TOCANTINS;Aliança do Tocantins;5822;44565.703125;7654.70996094
MINAS GERAIS;Igarapé;33773;277495.78125;8216.5
TOCANTINS;Lagoa da Confusão;8711;263527.4375;30252.25976562
PARAIBA;Puxinanã;13354;59902.4921875;4485.72998047
SAO PAULO;Guarujá;308058;3429098.5;11131.33984375
RIO GRANDE DO SUL;Engenho Velho;1467;24098.88671875;16427.33007812
PARANA;Rio Bom;3292;29087.8984375;8835.9296875
BAHIA;Sátiro Dias;18919;75908.4609375;4012.29003906
SANTA CATARINA;José Boiteux;5054;50867.8984375;10064.87988281
PARA;Cachoeira do Arari;20411;62800.12890625;3076.7800293
BAHIA;Irajuba;7666;29224.98828125;3812.29003906
PERNAMBUCO;Palmares;58819;387086.59375;6580.97998047
SERGIPE;Brejo Grande;8086;39924.37890625;4937.47021484
PARANA;Altamira do Paraná;3799;37563.4296875;9887.71972656
MATO GROSSO;Nova Santa Helena;3473;49004.0;14109.99023438
PARAIBA;São Sebastião do Umbuzeiro;3170;15186.453125;4790.68017578
MATO GROSSO;Nova Guarita;4907;45700.81640625;9313.38964844
MARANHAO;Serrano do Maranhão;11085;40995.56640625;3698.29003906
SAO PAULO;Pedrinhas Paulista;2927;75881.6875;25924.73046875
GOIAS;Santa Rita do Novo Destino;3576;29350.61328125;8207.66992188
PARAIBA;Cabedelo;51865;2332828.25;44978.8515625
PERNAMBUCO;Cabrobó;30432;188859.3125;6205.95019531
ALAGOAS;Dois Riachos;11200;35078.25390625;3131.98999023
MATO GROSSO DO SUL;Corumbá;99467;2715506.75;27300.58007812
MINAS GERAIS;Santa Maria do Suaçuí;14931;71374.390625;4780.27978516
MATO GROSSO;Tapurah;11517;321427.21875;27908.93945312
PARA;Bragança;107060;382807.5625;3575.63989258
RIO DE JANEIRO;Três Rios;76075;1304643.375;17149.43945312
ALAGOAS;Belém;5083;19550.015625;3846.15991211
CEARA;Abaiara;11077;33615.54296875;3034.7199707
BAHIA;Itaquara;7743;33105.69921875;4275.56982422
MARANHAO;Santa Luzia;71455;243949.921875;3414.04003906
PARAIBA;Patos;100732;615180.875;6107.10009766
SAO PAULO;São Luís do Paraitinga;10908;82827.171875;7593.25
SANTA CATARINA;Cordilheira Alta;3531;128883.09375;36500.44921875
MINAS GERAIS;Catas Altas da Noruega;3573;14633.55566406;4095.59008789
ACRE;Marechal Thaumaturgo;14275;109181.8671875;7648.47021484
PARAIBA;Riachão do Bacamarte;4319;17855.66796875;4134.20996094
MARANHAO;Senador Alexandre Costa;9414;31518.8046875;3348.08007812
MARANHAO;São Raimundo do Doca Bezerra;4372;19792.5078125;4527.10986328
PARANA;Diamante do Norte;5668;39603.3515625;6987.18017578
PARA;Breu Branco;52200;282525.6875;5412.37011719
PERNAMBUCO;Angelim;10385;41266.19140625;3973.62988281
RIO GRANDE DO SUL;Arvorezinha;10548;120895.8828125;11461.5
MARANHAO;Presidente Médici;6363;26121.25585938;4105.18017578
RIO GRANDE DO SUL;Palmeira das Missões;34225;597852.75;17468.30078125
SAO PAULO;Divinolândia;11343;158577.421875;13980.20019531
BAHIA;Cansanção;34093;112228.7734375;3291.84008789
SERGIPE;Tomar do Geru;13717;62506.4609375;4556.85986328
PARANA;Santa Lúcia;3743;34974.37109375;9343.94042969
RIO GRANDE DO NORTE;Rafael Godeiro;3251;14798.20410156;4551.89013672
CEARA;Novo Oriente;28703;93621.4453125;3261.72998047
PARAIBA;Alcantil;5232;22410.37304688;4283.33007812
SANTA CATARINA;Meleiro;7063;158156.390625;22392.24023438
MATO GROSSO;Sapezal;15735;1418892.125;90174.2734375
MINAS GERAIS;Pouso Alto;6494;80420.0546875;12383.75
PIAUI;Dom Inocêncio;10795;25457.23046875;2358.23999023
SERGIPE;Santana do São Francisco;6861;30641.17382812;4465.99023438
MINAS GERAIS;Campanha;15949;145911.328125;9148.62011719
MINAS GERAIS;Orizânia;7078;32101.34765625;4535.37011719
SANTA CATARINA;São José do Cerrito;10624;78940.25;7430.37011719
PIAUI;Prata do Piauí;3260;10738.21386719;3293.92993164
MARANHAO;Amarante do Maranhão;37388;131346.625;3513.07006836
BAHIA;Itaparica;20796;102586.6484375;4933.0
SAO PAULO;Araraquara;200666;4193535.25;20898.08984375
SERGIPE;Indiaroba;18126;86033.2578125;4746.39990234
RIO GRANDE DO NORTE;Taipu;12165;68109.515625;5598.81005859
BAHIA;Nova Redenção;9318;28909.56835938;3102.55004883
PARA;Aveiro;20266;54393.734375;2683.98999023
PIAUI;Alegrete do Piauí;4595;21006.09179688;4571.50976562
RIO GRANDE DO SUL;Monte Belo do Sul;2826;58234.10546875;20606.55078125
PARANA;Nova Aurora;11636;189617.90625;16295.79980469
PERNAMBUCO;Santa Maria do Cambucá;12942;48165.3125;3721.62988281
SANTA CATARINA;Peritiba;2977;46664.69921875;15675.08007812
MINAS GERAIS;Brasópolis;14756;105255.1484375;7133.04003906
PIAUI;Lagoa Alegre;8210;24826.51953125;3023.93994141
PIAUI;Curimatá;10765;40100.8359375;3725.11010742
PARAIBA;Barra de Santana;8909;34139.8046875;3832.06005859
MINAS GERAIS;Leme do Prado;5145;22865.88476562;4444.29003906
PARAIBA;Alagoa Nova;19799;123786.2734375;6252.14990234
RIO GRANDE DO SUL;São Jerônimo;21289;281260.28125;13211.53027344
MINAS GERAIS;Rio Vermelho;15343;62241.30078125;4056.65991211
SAO PAULO;Itapevi;205881;3638207.25;17671.41015625
BAHIA;Ibicuí;16464;69475.15625;4219.81982422
PARANA;Rancho Alegre;4083;33275.3046875;8149.72021484
RIO GRANDE DO SUL;Erval Grande;5367;53334.69921875;9937.53027344
MATO GROSSO;Planalto da Serra;2797;33849.7578125;12102.16992188
BAHIA;Santa Rita de Cássia;27528;91663.0;3329.81005859
MINAS GERAIS;Imbé de Minas;6641;38283.34375;5764.70019531
GOIAS;Novo Gama;88835;352584.96875;3968.98999023
PIAUI;Passagem Franca do Piauí;4246;14411.97558594;3394.25
RIO GRANDE DO SUL;Chuí;5496;140923.671875;25641.13085938
CEARA;Ibaretama;13206;42010.30078125;3181.14990234
SAO PAULO;Bastos;21380;322317.3125;15075.65039062
SAO PAULO;Três Fronteiras;5163;49727.08984375;9631.4296875
GOIAS;Britânia;5190;48315.8125;9309.41015625
MINAS GERAIS;Douradoquara;1924;23141.8359375;12027.98046875
PARANA;Piraí do Sul;24374;293748.59375;12051.71972656
SAO PAULO;Américo Brasiliense;33255;578886.875;17407.50976562
BAHIA;Nordestina;12670;35456.31640625;2798.44995117
PARANA;São Manoel do Paraná;2170;18855.14453125;8689.00976562
SANTA CATARINA;Santa Cecília;15928;201708.875;12663.79003906
PARAIBA;Serra Grande;3147;12504.2421875;3973.37988281
PIAUI;Alagoinha do Piauí;7736;27277.73046875;3526.08007812
SANTA CATARINA;São João do Sul;7174;84870.84375;11830.33984375
MATO GROSSO DO SUL;Anastácio;23047;202939.390625;8805.45996094
RIO GRANDE DO NORTE;Pedra Preta;2718;12639.96777344;4650.47021484
MARANHAO;Alto Alegre do Maranhão;22914;70238.390625;3065.30004883
SERGIPE;Poço Redondo;30249;138586.828125;4581.52978516
SAO PAULO;Sertãozinho;110999;4155643.5;37438.5703125
PARAIBA;Riacho de Santo Antônio;1588;9611.00976562;6052.27001953
PARAIBA;São José da Lagoa Tapada;8067;29955.484375;3713.34008789
BAHIA;Coronel João Sá;18408;76828.921875;4173.66992188
RIO GRANDE DO SUL;Sarandi;21828;389289.53125;17834.41015625
MARANHAO;Governador Luiz Rocha;7144;23451.05078125;3282.62011719
MINAS GERAIS;Piranguçu;5319;34538.80859375;6493.47998047
BAHIA;Pedro Alexandre;17698;58842.01171875;3324.7800293
MARANHAO;Morros;17916;48157.7734375;2687.97998047
RIO GRANDE DO SUL;Casca;8654;201810.28125;23319.88085938
PARANA;São Mateus do Sul;41188;552378.875;13411.16015625
RIO DE JANEIRO;Varre-Sai;8852;88212.8359375;9965.29980469
SAO PAULO;Sabino;5420;71262.4765625;13148.05957031
SAO PAULO;Caraguatatuba;96125;1147377.5;11936.30957031
BAHIA;Prado;26016;285453.96875;10972.25
SANTA CATARINA;Rio das Antas;6237;86345.3984375;13844.05957031
PARAIBA;Cruz do Espírito Santo;15854;71412.4453125;4504.37988281
RIO GRANDE DO SUL;Protásio Alves;2188;30150.00390625;13779.70996094
BAHIA;Iaçu;28602;109799.9453125;3838.88989258
SERGIPE;Areia Branca;16733;86116.2890625;5146.49023438
RONDONIA;Itapuã do Oeste;8235;84785.7265625;10295.78027344
MINAS GERAIS;São João Evangelista;16254;81616.9921875;5021.35009766
PIAUI;Cocal;27220;79448.5;2918.75
PARANA;São Tomé;5522;89769.359375;16256.6796875
PERNAMBUCO;Lagoa do Ouro;12244;48624.8359375;3971.32006836
RIO GRANDE DO SUL;Cacique Doble;5008;52123.5;10408.04980469
RIO GRANDE DO SUL;Porto Xavier;11131;142891.265625;12837.24023438
MINAS GERAIS;Ewbank da Câmara;3676;19510.05859375;5307.41992188
RORAIMA;Pacaraima;9220;93442.5703125;10134.76953125
MINAS GERAIS;Viçosa;74171;599764.125;8086.22998047
MATO GROSSO DO SUL;Sonora;13334;258011.5625;19349.90039062
RIO GRANDE DO SUL;Jari;3802;88814.828125;23360.02929688
PERNAMBUCO;Joaquim Nabuco;16498;96163.34375;5828.79003906
MINAS GERAIS;Ubaporanga;12561;69659.015625;5545.66015625
PARANA;Tupãssi;7947;137302.3125;17277.25
SAO PAULO;Santo Expedito;2956;27413.52148438;9273.86035156
RIO GRANDE DO SUL;Caiçara;5240;60827.06640625;11608.21972656
MARANHAO;Capinzal do Norte;10688;44285.91796875;4143.52001953
RIO GRANDE DO NORTE;Caiçara do Norte;6652;31648.85742188;4757.79980469
SAO PAULO;Paulo de Faria;9463;121381.28125;12826.9296875
PARANA;Ampére;18041;193306.609375;10714.84960938
PIAUI;Paes Landim;4562;14581.94140625;3196.38989258
MINAS GERAIS;Campo do Meio;11871;83806.1875;7059.74023438
PARANA;Anahy;2926;33611.8046875;11487.29003906
ESPIRITO SANTO;Serra;404688;11531826.0;28495.59960938
SAO PAULO;São João do Pau d'Alho;2191;36372.3046875;16600.77929688
SAO PAULO;Paulicéia;5791;73761.8125;12737.3203125
RIO GRANDE DO NORTE;Viçosa;1856;8834.24511719;4759.83007812
RIO GRANDE DO NORTE;Fernando Pedroza;2994;12757.65820312;4261.06982422
MINAS GERAIS;Aricanduva;5140;23447.10742188;4561.68994141
BAHIA;Araci;54713;172730.890625;3157.04003906
SAO PAULO;Tremembé;41159;393278.46875;9555.09960938
TOCANTINS;Buriti do Tocantins;8454;39691.9453125;4695.04980469
GOIAS;Cezarina;7832;145802.765625;18616.2890625
MARANHAO;Vitorino Freire;31144;122207.015625;3923.92993164
RONDONIA;Ariquemes;85541;1040960.75;12169.13964844
PARAIBA;Seridó;10091;32620.47851562;3232.62988281
PARANA;Castro;68071;1097076.75;16116.65039062
ALAGOAS;Santana do Mundaú;12039;52134.53515625;4330.47021484
PARAIBA;Esperança;30855;221022.5625;7163.27001953
PARAIBA;Poço de José de Moura;4118;17580.734375;4269.24023438
GOIAS;Gouvelândia;4790;120889.484375;25237.890625
RIO GRANDE DO SUL;Ibiraiaras;7319;136556.0625;18657.75
ESPIRITO SANTO;Pancas;18497;123706.6484375;6687.93017578
RIO DE JANEIRO;Cardoso Moreira;12481;203775.765625;16326.87988281
PARANA;São Pedro do Iguaçu;6561;84376.4140625;12860.29980469
PARAIBA;Uiraúna;14963;65173.609375;4355.64990234
ALAGOAS;Campo Alegre;47209;182361.03125;3862.84008789
SANTA CATARINA;Morro da Fumaça;16128;370818.0;22992.18945312
RIO GRANDE DO SUL;Westfalia;2843;67336.796875;23685.11914062
MINAS GERAIS;Catuti;5473;22031.84960938;4025.55004883
PIAUI;Cocal de Telha;4689;15476.57128906;3300.61010742
SAO PAULO;Leme;88995;1338844.125;15044.04003906
SAO PAULO;Nova Europa;10092;113681.1171875;11264.48046875
MARANHAO;Bequimão;21508;64784.91796875;3012.12988281
PARANA;Quedas do Iguaçu;31976;477660.84375;14938.11035156
PARAIBA;Maturéia;6029;24164.58789062;4008.06005859
ALAGOAS;Passo de Camaragibe;14261;59784.6875;4192.18017578
SAO PAULO;São João das Duas Pontes;2630;31190.76757812;11859.61035156
SAO PAULO;Promissão;37570;771585.3125;20537.26953125
PERNAMBUCO;Santa Cruz;14782;53805.15234375;3639.90991211
SERGIPE;Pacatuba;12870;153896.0;11957.73046875
BAHIA;Coribe;14895;63455.30859375;4260.18017578
RIO GRANDE DO NORTE;Messias Targino;3923;21696.81640625;5530.66992188
ESPIRITO SANTO;Alto Rio Novo;6172;47128.93359375;7635.93017578
SAO PAULO;Novais;3974;37936.8671875;9546.26953125
PIAUI;Campo Grande do Piauí;5898;20200.31054688;3424.93994141
MINAS GERAIS;Inhapim;24952;150295.234375;6023.37011719
SANTA CATARINA;Ermo;1857;40582.9296875;21854.02929688
BAHIA;Araças;12209;97321.03125;7971.25
BAHIA;Conceição do Almeida;17974;69316.4296875;3856.47998047
GOIAS;Orizona;15201;234588.984375;15432.46972656
CEARA;Acarape;15627;56133.1015625;3592.06005859
PARAIBA;Pilõezinhos;5470;21413.59960938;3914.72998047
MINAS GERAIS;Serra Azul de Minas;4479;17296.31054688;3861.64990234
MINAS GERAIS;Passa-Vinte;2132;12662.79980469;5939.39990234
PERNAMBUCO;Petrolina;281851;2283346.25;8101.25
MINAS GERAIS;Juruaia;8684;72658.75;8366.96972656
BAHIA;Baianópolis;14195;60239.99609375;4243.75
MATO GROSSO;Gaúcha do Norte;6195;132122.640625;21327.30078125
MINAS GERAIS;Araújos;7692;61315.7109375;7971.35986328
SAO PAULO;Santo Anastácio;21222;225050.078125;10604.5703125
RIO GRANDE DO NORTE;Riacho da Cruz;3165;13750.82910156;4344.64990234
PARANA;Peabiru;13347;130212.734375;9755.95996094
SAO PAULO;Guzolândia;4917;45986.609375;9352.5703125
PIAUI;Regeneração;18190;60257.28125;3312.65991211
MARANHAO;São José dos Basílios;7489;27508.0546875;3673.12988281
RIO DE JANEIRO;Queimados;139378;1224457.75;8785.16015625
TOCANTINS;Sucupira;1741;29328.91796875;16846.01953125
BAHIA;Cruz das Almas;57098;387271.40625;6782.56982422
MINAS GERAIS;São Sebastião do Oeste;5689;141371.28125;24849.9296875
TOCANTINS;Novo Jardim;2525;21134.14648438;8369.95996094
PARAIBA;Alhandra;18941;233951.8125;12351.61035156
RIO GRANDE DO SUL;Alecrim;7259;68632.7734375;9454.84960938
PIAUI;Riacho Frio;5093;16725.6796875;3284.05004883
PARA;Marabá;203049;3058909.0;15064.87988281
TOCANTINS;Angico;3300;19860.26953125;6018.25976562
TOCANTINS;Palmeirópolis;8492;63415.48046875;7467.66992188
MINAS GERAIS;Santos Dumont;47244;563264.25;11922.45019531
BAHIA;Feira de Santana;591707;6358135.5;10745.41015625
SAO PAULO;Pereiras;8076;143394.953125;17755.68945312
SANTA CATARINA;Rio do Sul;59962;1234667.5;20590.83007812
RIO GRANDE DO SUL;Anta Gorda;6326;92337.53125;14596.50976562
TOCANTINS;Santa Fé do Araguaia;5795;59609.5390625;10286.37011719
BAHIA;Jaborandi;8895;161163.734375;18118.4609375
MINAS GERAIS;Congonhal;10261;89204.5078125;8693.54980469
PARA;Portel;48945;166577.46875;3403.36010742
MINAS GERAIS;Silveirânia;2193;14646.60546875;6678.79980469
RIO GRANDE DO SUL;Campo Bom;59366;1244125.625;20956.86914062
MINAS GERAIS;São Romão;9713;52772.86328125;5433.22021484
MINAS GERAIS;São João das Missões;11267;35754.640625;3173.38989258
PARA;Breves;101094;300338.15625;2970.87988281
PARANA;Cerro Azul;18660;182354.265625;9772.46972656
GOIAS;Petrolina de Goiás;10061;71342.0625;7090.95019531
RIO GRANDE DO SUL;Coronel Bicaco;7971;115668.953125;14511.21972656
PARANA;Pinhão;30295;474849.625;15674.19042969
PERNAMBUCO;Bezerros;58354;285545.96875;4893.33984375
TOCANTINS;Formoso do Araguaia;18719;251944.96875;13459.3203125
SAO PAULO;Piraju;29398;347479.03125;11819.8203125
GOIAS;Santo Antônio da Barra;4295;71073.3515625;16547.9296875
SANTA CATARINA;Três Barras;18708;377119.4375;20158.18945312
RIO GRANDE DO SUL;São Francisco de Assis;19799;209910.53125;10602.08007812
RORAIMA;Mucajaí;13188;146580.046875;11114.65039062
SERGIPE;Maruim;15582;157533.96875;10110.0
MINAS GERAIS;Lima Duarte;16494;117942.3671875;7150.62011719
MINAS GERAIS;Comercinho;8637;40922.234375;4738.02001953
SANTA CATARINA;Cunha Porã;11079;231428.96875;20888.98046875
PIAUI;Paquetá;4686;15219.06542969;3247.77001953
AMAZONAS;Nova Olinda do Norte;31012;108783.34375;3507.7800293
SANTA CATARINA;Itapoá;11489;136989.625;11923.54980469
RIO DE JANEIRO;São Sebastião do Alto;9052;83303.6875;9202.79003906
BAHIA;Santaluz;35416;129238.140625;3649.14990234
ESPIRITO SANTO;Vargem Alta;18637;174520.09375;9364.16992188
MINAS GERAIS;Cordislândia;3743;34203.63671875;9138.03027344
MINAS GERAIS;Santa Helena de Minas;6126;24735.28125;4037.75
MINAS GERAIS;Leopoldina;51545;510692.75;9907.70996094
MINAS GERAIS;Machado;39509;624136.0;15797.30957031
PIAUI;Lagoinha do Piauí;2676;9008.67675781;3366.4699707
RIO GRANDE DO NORTE;Tenente Laurentino Cruz;5369;25890.28125;4822.18017578
MATO GROSSO;São Pedro da Cipa;4241;27307.92578125;6439.02978516
BAHIA;Alagoinhas;137810;1298216.375;9420.33984375
SANTA CATARINA;Ouro Verde;2179;63212.0859375;29009.6796875
TOCANTINS;Paranã;10824;63521.6015625;5868.58984375
RIO GRANDE DO NORTE;São José de Mipibu;38404;224160.21875;5836.89990234
SAO PAULO;Cunha;23735;127499.703125;5371.79980469
MINAS GERAIS;Coroaci;11131;55665.796875;5000.97021484
MINAS GERAIS;Rubim;9855;50577.96484375;5132.20996094
MINAS GERAIS;Patrocínio do Muriaé;5613;30995.88867188;5522.16015625
MINAS GERAIS;Conceição do Pará;4866;114920.3671875;23617.00976562
PARAIBA;Santo André;2707;11492.10351562;4245.33007812
MINAS GERAIS;Capitão Enéas;14830;170824.125;11518.8203125
SAO PAULO;Valinhos;107481;3042457.0;28306.9296875
MINAS GERAIS;Nova Serrana;67967;619228.5625;9110.71972656
SAO PAULO;Florínia;2856;97524.5234375;34147.23828125
MINAS GERAIS;Pedro Leopoldo;59064;865962.75;14661.4296875
BAHIA;Itiruçu;16827;68143.1640625;4049.62988281
PARANA;Novo Itacolomi;2808;23699.01367188;8439.8203125
AMAZONAS;Manaus;1738641;40486108.0;23286.06054688
PARAIBA;Tenório;2921;12547.22851562;4295.52978516
MINAS GERAIS;Rio Espera;6728;28883.20703125;4292.99023438
ACRE;Senador Guiomard;19697;217153.859375;11024.71972656
GOIAS;Jussara;19130;188344.21875;9845.49023438
MINAS GERAIS;Guarani;10049;78912.1640625;7852.74023438
SAO PAULO;Fernandópolis;63539;978006.125;15392.21972656
SAO PAULO;Riolândia;10542;100229.5703125;9507.63964844
PIAUI;São Gonçalo do Gurguéia;2544;10072.890625;3959.4699707
TOCANTINS;Crixás do Tocantins;1289;20361.1640625;15796.08984375
PIAUI;Jardim do Mulato;4318;14268.64648438;3304.45996094
MARANHAO;Godofredo Viana;11207;31905.390625;2846.91992188
MINAS GERAIS;Aguanil;4315;29883.59179688;6925.50976562
MINAS GERAIS;Ribeirão das Neves;349307;1712842.5;4903.54003906
RIO GRANDE DO NORTE;Ruy Barbosa;3730;17067.80664062;4575.81982422
BAHIA;Mulungu do Morro;13879;39825.95703125;2869.51000977
RIO GRANDE DO SUL;Ajuricaba;7374;129304.8671875;17535.24023438
ALAGOAS;Marechal Deodoro;47623;620477.5;13028.95019531
PIAUI;Acauã;7354;22335.9765625;3037.26000977
MINAS GERAIS;Itutinga;4165;55648.8046875;13361.05957031
PERNAMBUCO;Limoeiro;57243;269157.125;4702.00976562
CEARA;Aratuba;12478;50276.91796875;4029.23999023
RIO GRANDE DO SUL;Boa Vista das Missões;2100;54992.50390625;26186.91015625
CEARA;Pindoretama;18322;76975.75;4201.27001953
MINAS GERAIS;Sabará;126195;1005070.625;7964.43017578
PARANA;Rio Branco do Sul;33142;550602.9375;16613.44921875
BAHIA;Cabaceiras do Paraguaçu;18569;58247.78515625;3136.83007812
MINAS GERAIS;São Geraldo do Baixio;3461;21757.00390625;6286.33007812
SANTA CATARINA;Jardinópolis;1881;23165.56445312;12315.55957031
MINAS GERAIS;Lagoa Santa;48213;672530.5;13949.15039062
MINAS GERAIS;Senador Cortes;2082;14030.48046875;6738.93994141
MINAS GERAIS;Nepomuceno;25152;233659.203125;9289.88964844
MATO GROSSO;Cocalinho;6103;93218.71875;15274.24023438
PIAUI;Sebastião Barros;4270;17421.07421875;4079.87988281
BAHIA;Tanque Novo;16466;70092.859375;4256.81982422
MINAS GERAIS;Brás Pires;4615;20628.4296875;4469.87011719
MINAS GERAIS;Monte Azul;22838;94946.1875;4157.37988281
SAO PAULO;Mauá;417458;6574846.5;15749.71972656
BAHIA;Planaltino;8880;31850.30078125;3586.75
MINAS GERAIS;Tupaciguara;23841;294354.84375;12346.58007812
MATO GROSSO DO SUL;Alcinópolis;4515;92977.2265625;20592.9609375
BAHIA;Serrinha;73859;393287.0625;5324.83984375
SANTA CATARINA;Abdon Batista;2805;35731.484375;12738.5
MARANHAO;Carutapera;21121;67091.46875;3176.5300293
RIO DE JANEIRO;Cantagalo;20540;622857.5;30324.11914062
CEARA;Boa Viagem;56236;195497.71875;3476.37988281
MINAS GERAIS;Sacramento;23112;527058.9375;22804.56054688
BAHIA;Ipiaú;43723;271794.59375;6216.27978516
SANTA CATARINA;Bom Jardim da Serra;4383;47566.6953125;10852.54003906
SAO PAULO;Várzea Paulista;107211;1421194.0;13256.04980469
GOIAS;Rio Quente;3285;49451.97265625;15053.87011719
PIAUI;Santana do Piauí;5015;15979.00292969;3186.23999023
RIO GRANDE DO SUL;Carlos Gomes;1718;20166.66992188;11738.45996094
SAO PAULO;Riversul;6520;43661.6171875;6696.56982422
ACRE;Assis Brasil;5662;48347.30078125;8538.91015625
PARAIBA;Araruna;20009;78491.8515625;3922.83007812
MINAS GERAIS;Jequitaí;8117;44734.484375;5511.20996094
BAHIA;Conceição do Jacuípe;28769;404286.28125;14052.83984375
BAHIA;Ibirapitanga;24223;94739.7421875;3911.14990234
GOIAS;Acreúna;19246;292935.15625;15220.5703125
ALAGOAS;São Miguel dos Milagres;7601;29789.48828125;3919.14990234
MATO GROSSO;Pontes e Lacerda;39228;523958.28125;13356.74023438
MINAS GERAIS;Águas Formosas;19310;92617.0078125;4796.31982422
PARANA;Imbituva;28660;220502.328125;7693.72998047
SAO PAULO;Alto Alegre;4267;38369.390625;8992.12011719
ESPIRITO SANTO;João Neiva;14621;162151.4375;11090.30957031
PIAUI;Valença do Piauí;20303;90192.671875;4442.33007812
MINAS GERAIS;Pompéu;29929;387824.65625;12958.16015625
ACRE;Epitaciolândia;14224;129641.09375;9114.25
MINAS GERAIS;Veríssimo;3991;77581.65625;19439.15039062
PIAUI;São João da Serra;6877;22621.08203125;3289.37988281
PIAUI;Coronel José Dias;4484;13511.09667969;3013.17993164
MINAS GERAIS;Cachoeira da Prata;3936;29977.31835938;7616.18994141
MINAS GERAIS;São Gonçalo do Pará;11246;77404.9296875;6882.89013672
SAO PAULO;Bragança Paulista;145894;2389078.25;16375.44042969
MATO GROSSO;General Carneiro;5028;98700.0546875;19630.08007812
MARANHAO;São Roberto;5217;17869.60351562;3425.26000977
PARA;Nova Esperança do Piriá;24062;69204.703125;2876.10009766
PARANA;Pato Branco;70160;1345454.625;19176.94921875
MINAS GERAIS;Caraí;22392;80639.375;3601.26000977
RIO GRANDE DO NORTE;Senador Georgino Avelino;3854;20890.93164062;5420.58007812
MINAS GERAIS;Resplendor;17608;154419.015625;8769.8203125
TOCANTINS;Pedro Afonso;10758;219720.21875;20423.890625
SANTA CATARINA;Timbó;35303;857392.6875;24286.6796875
PIAUI;São Gonçalo do Piauí;4485;15585.75195312;3475.08007812
SAO PAULO;Vargem Grande Paulista;44754;632840.3125;14140.41992188
SAO PAULO;Cássia dos Coqueiros;2737;39400.171875;14395.38964844
RIO GRANDE DO NORTE;Baía Formosa;8811;154971.21875;17588.38085938
PERNAMBUCO;Goiana;74424;634199.5625;8521.44042969
RIO GRANDE DO SUL;Cerro Branco;4673;54877.2421875;11743.46972656
PIAUI;Joca Marques;5614;15076.13085938;2685.44995117
PARANA;São João do Caiuá;6152;45573.4296875;7407.89990234
PERNAMBUCO;Iguaraci;12397;45478.7890625;3668.5300293
